filename,instrument,instrument_family,instrument_source,audio_source
bass_synthetic_101-086-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-033-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-026-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-050-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-051-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-078-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-098-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-024-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-023-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-061-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-083-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-095-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-055-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-094-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-031-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-038-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-048-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-048-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-048-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-076-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-066-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-102-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-106-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-046-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-094-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-029-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-102-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-094-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-077-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-074-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-061-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-038-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-057-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-069-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-075-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-097-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-060-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-029-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-069-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-072-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-088-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-073-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-100-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-039-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-091-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-044-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-066-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-103-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-059-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-100-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-045-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-039-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-037-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-021-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-071-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-036-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-032-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-074-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-037-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-035-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-103-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-101-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-029-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-092-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-067-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-103-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-056-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-036-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-075-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-083-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-021-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-045-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-058-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-054-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-076-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-103-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-106-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-044-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-022-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-027-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-092-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-075-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-106-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-104-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-034-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-025-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-098-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-088-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-073-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-049-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-043-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-096-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-044-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-107-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-065-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-099-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-056-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-049-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-022-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-028-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-062-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-097-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-063-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-101-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-088-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-026-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-032-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-041-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-100-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-035-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-040-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-082-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-039-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-091-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-036-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-056-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-044-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-093-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-071-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-069-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-045-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-057-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-055-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-043-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-082-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-037-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-062-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-071-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-063-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-068-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-032-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-041-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-087-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-081-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-079-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-023-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-036-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-108-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-047-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-065-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-039-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-053-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-038-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-102-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-084-127,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-072-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-090-100,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-054-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-049-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-088-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-041-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-065-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-077-025,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-031-075,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-082-050,bass_synthetic_101,bass,synthetic,nsynth-train
bass_synthetic_101-057-100,bass_synthetic_101,bass,synthetic,nsynth-train
